player_name,player_season_minutes,player_season_np_xg_per_shot,player_season_np_xg_90,player_season_np_shots_90,player_season_goals_90,player_season_xa_90,player_season_shot_on_target_ratio,player_season_conversion_ratio,player_season_pressures_90,player_season_shot_touch_ratio
Rushian Hepburn-Murphy,321.93335,0.08143281937,0.09106175,1.1182438,0.27956095,0,0.5,0.25,18.171463,0.04761904762
Lukas Jutkiewicz,41.61667,,0,0,0,0,,,17.30076,0
George Lloyd,164.66666,0.06444709748,0.035224125,0.54655874,0,0.1986218,0,0,28.967613,0.02564102564
John Edward Marquis,244.44998,0.0914825201,0.13472575,1.4726938,0,0.093609616,0.5,0,19.145021,0.04838709677
Ashley Fletcher,247.23332,0.1943174771,0.49515983,2.5482001,0.3640286,0.037021928,0.4285714286,0.1428571429,23.661858,0.05109489051
Sam Vokes,39.083336,0.1558558245,1.0767012,6.908315,4.605543,0,0.6666666667,0.6666666667,16.119402,0.1052631579
Richard Kone,244.5,0.07440902127,0.24650842,3.3128836,0.36809814,0.01942097,0.2222222222,0.1111111111,20.613497,0.06666666667
Charlie Kelman,393.03333,0.0888962388,0.20356192,2.2898822,0.22898822,0.0108137205,0.7,0.1,15.800186,0.08771929825
Alfie May,345.21667,0.2259013653,0.41225663,1.8249408,1.0428233,0.07418656,0.8571428571,0.4285714286,15.381644,0.04191616766
Dion Charles,292.03333,0.107364927,0.46323413,4.314576,0.30818403,0.10367813,0.4285714286,0.07142857143,20.648329,0.08928571429
Freddie Draper,129.7,,0,0,0,0.21229768,,,27.756363,0
Shayne Lavery,396.16666,0.1710041046,0.38848218,2.2717712,0.45435423,0.13137098,0.5,0.2,20.900295,0.06194690265
Kenneth Aboh,33.016666,0.1682540625,0.45864308,2.725896,0,0,1,0,10.903584,0
Tyreece Simpson,264.71664,0.1693392247,0.11514599,0.67997235,0,0.07262022,0.5,0,18.69924,0.02985074627
Louis George Appéré,97.35,0.1488395035,0.275204,1.8489985,0,0.35790873,1,0,19.414484,0.04651162791
Callum Morton,372.2,0.1106068989,0.16047212,1.4508328,0.24180548,0.04325725,0.3333333333,0.1666666667,16.200966,0.03448275862
Sam Smith,366.81665,0.1741796562,0.29914996,1.7174792,0.24535419,0.036872495,0.2857142857,0.1428571429,9.568813,0.03174603175
Jayden Wareham,38.13333,,0,0,0,0.16969107,,,16.520979,0
Ricky-Jade Jones,172.65001,0.1703943809,0.26647252,1.5638574,0,0.14869818,0.3333333333,0,14.596003,0.1
Detlef Esapa Osong,33.133335,,0,0,0,0,,,10.8651905,0
Josh Brendan David Magennis,353.18332,0.06653853506,0.033911385,0.50965035,0,0.20215084,0,0,12.486434,0.01834862385
Malik Mothersille,264.5,0.3420610428,0.46556515,1.3610586,0.34026465,0.053734805,1,0.25,19.054821,0.0380952381
Danilo Orsi-Dadamo,363.7,0.1902647614,0.14124687,0.74237007,0,0.092182726,0.3333333333,0,18.806707,0.03
Gatlin O''Donkor,19.45,,0,0,0,0,,,27.763494,0
Kyle Wootton,393.61664,0.1940332821,0.6211169,3.2010844,0.68594664,0.16814414,0.4285714286,0.2142857143,19.663803,0.05988023952
Callum McManaman,83.53333,0.09311500937,0.10032344,1.0774142,0,0,0,0,10.774142,0
Joe Hugill,311.93335,0.08767492771,0.12648124,1.4426159,0,0,0.2,0,44.144047,0.04411764706
James Wilson,28.133333,,0,0,0,0.22108904,,,19.194313,0
Mason Bennett,59.31667,0.06016554683,0.091287985,1.5172801,0,0.0743695,0,0,18.207361,0.05555555556
Chris Martin,91.55,,0,0,0,0,,,19.661386,0
Josh Koroma,261.28333,0.05700681426,0.21599828,3.7889905,0.34445366,0.4224864,0.1818181818,0.09090909091,14.122601,0.06923076923
Jonson Clarke-Harris,244.21666,0.1162434593,0.34270918,2.9482017,0.3685252,0.076598264,0.25,0,15.47806,0.04081632653
Max Watters,199.08333,0.2159525156,0.58575654,2.712432,0.452072,0.06646816,0.3333333333,0.1666666667,15.370448,0.04545454545
Aiden Marsh,170.83334,0.1226790746,0.19389276,1.5804876,0,0,1,0,21.07317,0.05555555556
Jordan Rhodes,161.36667,0.2293872535,0.5117501,2.230944,0,0,0.5,0,10.596984,0.05970149254
Jake Beesley,40.716667,0.08253657073,0.7297544,8.841588,2.210397,0.27223495,0.5,0.25,8.841588,0.1739130435
Aaron Collins,274.21667,0.06857204437,0.11252934,1.6410381,0,0.20402552,0.4,0,12.8000965,0.0245398773
Paul Mullin,49.61667,0.07088704904,0.38574746,5.4417195,0,0,0.3333333333,0,10.883439,0.1304347826
Steven Fletcher,106.183334,0.05943934917,0.25190118,4.237953,0.8475906,0,0.6,0.2,18.646996,0.06779661017
Ollie Palmer,285.86664,0.06415824592,0.040398154,0.62966424,0.31483212,0.053802557,0.5,0.5,19.20476,0.01492537313
Lee Gregory,356.94998,0.06873387098,0.13864236,2.0170894,0.50427234,0,0.5,0.125,22.187983,0.03355704698
Jovon Makama,304.11667,0.07993593067,0.09462465,1.1837562,0,0.09006661,0.5,0,21.60355,0.0380952381
Matt Godden,81.86667,0.1675886512,0.18423834,1.0993485,1.0993485,0.043445066,1,1,10.9934845,0.02777777778
Daniel Malanga Kanu,42.783333,0.03951891884,0.08313291,2.103623,0,0,0,0,16.828983,0.1428571429
Brandon Njoku,47.016666,0.2794325352,0.53489393,1.9142148,1.9142148,0.40315482,1,1,19.142147,0.04545454545
Tyreece Anthony Tupac Shakur Campbell,295.53333,0.05467682083,0.049952883,0.91360253,0,0.014804411,0.3333333333,0,28.626213,0.02857142857
Callum Marshall,168.76666,0.1595697999,0.51057297,3.199684,0.5332807,0.31492183,0.5,0.1666666667,12.798736,0.06578947368
Rhys Healey,122.91667,0.1516366104,0.666173,4.3932204,0,0.08276934,0.3333333333,0,18.305084,0.06060606061
Amani Richards,23.216667,0.206565842,0.80075777,3.8765252,0,0,0,0,27.135677,0.1666666667
Promise Omochere,313.56665,0.1072250962,0.30775782,2.870203,0.57404065,0.07026455,0.3,0.2,21.239504,0.05517241379
Millenic Alli,317.05,0.1256273985,0.32095316,2.5548022,0.2838669,0.066929884,0.3333333333,0.1111111111,22.709352,0.05970149254
Danny Ward,172,0.1055013984,0.22081688,2.0930233,0,0.13919932,0.5,0,16.744186,0.06779661017
Sam Nombe,311.0167,0.1295633713,0.44990653,3.4724824,0,0.16989689,0.4166666667,0,20.834894,0.08411214953
Jordan Hugill,187.51666,0.05090885982,0.04886816,0.9599147,0,0.014884831,0.5,0,15.8385935,0.02222222222
Joshua Kayode,54.233334,,0,0,0,0,,,16.59496,0
Sam Cosgrove,293.6,0.1239632236,0.34199664,2.7588556,0.3065395,0.077926934,0.4444444444,0.1111111111,10.422343,0.07
Victor Adeboyejo,136.91667,0.1759614348,0.34699637,1.9720023,0.6573341,0,1,0.3333333333,9.860011,0.02941176471
Kyle Joseph,335.51666,0.1663629157,0.31237984,1.877701,0.536486,0.2472124,0.4285714286,0.2857142857,20.922955,0.02366863905
Sam Dalby,18.866667,,0,0,0,0.90300506,,,9.540636,0
Will Evans,299.84998,0.2380042672,0.42862204,1.8009007,0.3001501,0.024833512,0.1666666667,0.1666666667,21.010506,0.03125
Ben House,291.83334,0.1035938362,0.19168705,1.8503711,0.6167904,0,0.5,0.3333333333,28.063963,0.04545454545
Chukwuemeka Ademola Amachi Aneke,104.98334,0.03221571445,0.082853556,2.5718367,0,0.14367022,0,0,12.001905,0.02666666667
Gassan Ahadme Yahyai,295.61667,0.2045921534,0.12457548,0.6088967,0,0.022249386,0.5,0,36.22935,0.02247191011
Sullay Kaikai,312.45,0.1495069146,0.2153244,1.4402304,0,0.09680229,0,0,23.043686,0.03424657534
Sonny Cox,8.383333,,0,0,0,0,,,32.20676,
Ruel Sotiriou,160.68333,0.0537661314,0.0903445,1.6803236,0,0.08172165,0,0,27.445286,0.0612244898
Kian Shay Harratt,20.5,,0,0,0,0,,,35.12195,0
Jack Marriott,307.09998,0.1646809429,0.38609666,2.3445134,0.58612835,0,0.75,0.25,25.789646,0.05660377358
Isaac Olaofe,51.9,0.1019928257,0.53059846,5.202312,1.7341039,0,0.3333333333,0.3333333333,20.809248,0.1052631579
